place_of_interest,type_of_place,place_address,nearest_bicimad_station,station_location,distance,total_bases
Oficina de Asistencia en Materia de Registro. Informática del Ayuntamiento de Madrid (IAM),Instalación accesible municipal,CALLE ALBARRACIN 33,506 - Albarracín - Julián Camarillo,"Calle Albarracin, sn,",261 meters,24
Oficina de Asistencia en Materia de Registro. Madrid Salud,Instalación accesible municipal,AVENIDA MEDITERRANEO 62,77 - Plaza del Conde de Casal,"Plaza del Conde de Casal nº 8,",469 meters,18
"Oficina de Asistencia en Materia de Registro. Portavoz, Seguridad y Emergencias",Instalación accesible municipal,CALLE PRINCIPE DE VERGARA 140,"146 - María Francisca, 3","Calle de María Francisca, 3,",86 meters,19
Oficina de Asistencia en Materia de Registro. Tribunal Económico - Administrativo Municipal de Madrid (TEAMM),Instalación accesible municipal,CALLE MAYOR 83,166 - Viaducto de Segovia,"Calle Segovia nº 26,",183 meters,27
Oficina de Asistencia en Materia de Registro. Vicealcaldía,Instalación accesible municipal,CALLE MONTALBAN 1,86 - Cibeles,"Paseo del Prado, 1B ,",145 meters,24
Oficina de Asistencia en Materia de Registro. Área Gobierno Políticas de Vivienda,Instalación accesible municipal,CALLE RIBERA DEL SENA 21,568 - IFEMA A,"Avenida del Partenón, 6 ,",192 meters,27
"Oficina de Asistencia en Materia de Registro. Área de Gobierno de Economía, Innovación y Hacienda",Instalación accesible municipal,CALLE ALCALA 45,20A - Banco de España,"Calle Alcalá nº 48,",123 meters,27
"Oficina de Asistencia en Materia de Registro. Área de Gobierno de Políticas Sociales, Familia e Igualdad",Instalación accesible municipal,RONDA TOLEDO 10,45 - Metro Puerta de Toledo,"Puerta de Toledo 1 ,",148 meters,19
"Oficina de Atención Integral al Contribuyente (OAIC). Calle Hierro, 27 (Legazpi)",Instalación accesible municipal,CALLE HIERRO 27,235 - Sodio - Embajadores,"Calle del Sodio, 1B ,",242 meters,23
"Oficina de Atención Integral al Contribuyente (OAIC). Calle Raimundo Fernández Villaverde, 32",Instalación accesible municipal,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 32,133 - Raimundo Fdez. Villaverde - Dulcinea,"Calle Dulcinea, 3 ,",197 meters,24
"Oficina de Atención Integral al Contribuyente (OAIC). Calle Sacramento, 3 (junto a Plaza de la Villa)",Instalación accesible municipal,CALLE SACRAMENTO 3,35 - Plaza del Cordón,"Plaza del Cordón nº1,",95 meters,24
Oficina de Atención a la Ciudadanía (OAC) Arganzuela. Línea Madrid,Instalación accesible municipal,PASEO CHOPERA 10,165 - Entrada Matadero - Paseo de la Chopera,"Paseo de la Chopera frente 51 ,",130 meters,43
Oficina de Atención a la Ciudadanía (OAC) Barajas. Línea Madrid,Instalación accesible municipal,PLAZA MERCURIO 1,567 - Plaza Mayor de Barajas,"Plaza Mayor de Barajas, 24,",215 meters,24
Oficina de Atención a la Ciudadanía.(OAC) Carabanchel. Línea Madrid,Instalación accesible municipal,CALLE UTEBO 8,365 - Palacio Vistalegre Arena,"Avenida Plaza de Toros, 3 ,",279 meters,23
Oficina de Atención a la Ciudadanía.(OAC) Centro. Línea Madrid,Instalación accesible municipal,CALLE ATOCHA 70,42 - Santa Isabel,"Calle Santa Isabel 32,",116 meters,27
Oficina de Atención a la Ciudadanía.(OAC) Chamartín. Línea Madrid,Instalación accesible municipal,CALLE PRINCIPE DE VERGARA 142,"146 - María Francisca, 3","Calle de María Francisca, 3,",126 meters,19
Oficina de Atención a la Ciudadanía.(OAC) Chamberí. Línea Madrid,Instalación accesible municipal,CALLE PALAFOX 4,124 - Metro Bilbao,"Calle Manuel Silvela nº 20,",177 meters,27
Oficina de Atención a la Ciudadanía.(OAC) Ciudad Lineal. Línea Madrid,Instalación accesible municipal,CALLE HERMANOS GARCIA NOBLEJAS 16,477 - Metro Ciudad Lineal,"Calle de los Misterios, 2 ,",397 meters,23
Oficina de Atención a la Ciudadanía.(OAC) Fuencarral - El Pardo. Línea Madrid,Instalación accesible municipal,AVENIDA MONFORTE DE LEMOS 40,572 - Junta Mpal. Dtto. Fuencarral - El Pardo,"Avenida Monforte de Lemos, 123,",63 meters,24
Oficina de Atención a la Ciudadanía.(OAC) Hortaleza. Línea Madrid,Instalación accesible municipal,CARRETERA CANILLAS 2,480 - Vicente Muzas - Arturo Soria,"Calle Vicente Muzas, 13 ,",685 meters,23
Oficina de Atención a la Ciudadanía.(OAC) Latina. Línea Madrid,Instalación accesible municipal,AVENIDA LAS AGUILAS 2,338 - Guareña - Luis Chamizo,"Calle Guareña, 22 ,",243 meters,18
Oficina de Atención a la Ciudadanía.(OAC) Moncloa - Aravaca. Línea Madrid,Instalación accesible municipal,PLAZA MONCLOA 1,110 - Intercambiador de Moncloa,"Paseo de Moret nº 1,",151 meters,23
Oficina de Atención a la Ciudadanía.(OAC) Moratalaz. Línea Madrid,Instalación accesible municipal,CALLE FUENTE CARRANTONA 8,221 - Metro Pavones,"Calle Hacienda de Pavones, 148 ,",366 meters,23
Oficina de Atención a la Ciudadanía.(OAC) Numancia. Línea Madrid,Instalación accesible municipal,CALLE MONTE OLIVETI 14,179 - Metro Puente de Vallecas,"Avenida de la Albufera nº 6,",246 meters,24
Oficina de Atención a la Ciudadanía.(OAC) Puente de Vallecas. Línea Madrid,Instalación accesible municipal,AVENIDA ALBUFERA 42,"431 - Puerto Canfranc, 18","Calle Estación de Canfrac, 18 ,",329 meters,24
Oficina de Atención a la Ciudadanía.(OAC) Retiro. Línea Madrid,Instalación accesible municipal,PLAZA DAOIZ Y VELARDE 1,178 - Junta Municipal Distrito de Retiro,"Calle León Gil de Palacio nº 1,",178 meters,24
Oficina de Atención a la Ciudadanía.(OAC) Salamanca. Línea Madrid,Instalación accesible municipal,CALLE VELAZQUEZ 52,87 - Ayala - Velázquez,"Calle Ayala nº 46,",83 meters,23
Oficina de Atención a la Ciudadanía.(OAC) San Blas - Canillejas. Línea Madrid,Instalación accesible municipal,AVENIDA ARCENTALES 28,520 - Niza - Plaza de Grecia,"Av/ de Niza, 67 ,",170 meters,23
Oficina de Atención a la Ciudadanía.(OAC) Sanchinarro. Línea Madrid,Instalación accesible municipal,CALLE PRINCESA DE EBOLI 29 En el Centro Cultural Sanchinarro,"550 - Príncipe Carlos, 54","Calle del Príncipe Carlos, 54 ,",560 meters,23
Oficina de Atención a la Ciudadanía.(OAC) Tetuán. Línea Madrid,Instalación accesible municipal,CALLE SIMANCAS 6,297 - Simancas - Pinos Alta,"Calle Simancas, 2,",123 meters,23
Oficina de Atención a la Ciudadanía.(OAC) Usera. Línea Madrid,Instalación accesible municipal,AVENIDA RAFAELA YBARRA 41,391 - Junta Municipal Distrito de Usera,"Calle Rafaela Ybarra, 22,Comunidad de Madrid España",120 meters,23
Oficina de Atención a la Ciudadanía.(OAC) Vicálvaro. Línea Madrid,Instalación accesible municipal,PLAZA DON ANTONIO DE ANDRES 18,470 - Avenida Real - Galeote,"Avenida Real, 3,",46 meters,18
Oficina de Atención a la Ciudadanía.(OAC) Villa de Vallecas. Línea Madrid,Instalación accesible municipal,PASEO FEDERICO GARCIA LORCA 12,440 - Metro Villa de Vallecas,"Paseo de Federico García Lorca, 2 ,",88 meters,18
Oficina de Atención a la Ciudadanía.(OAC) Villaverde. Línea Madrid,Instalación accesible municipal,CALLE ARROYO BUENO 53,404 - Junta Municipal Distrito de Villaverde,"Calle Arroyo Bueno, 53 ,",40 meters,27
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría  Integral de Distrito Salamanca,Instalación accesible municipal,CALLE PEDRO HEREDIA 34,187 - Alejandro González - Alcalá,"Alcala-Ventas ,",163 meters,23
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría  Integral de Distrito San Blas-Canillejas,Instalación accesible municipal,CALLE ESTOCOLMO 91,520 - Niza - Plaza de Grecia,"Av/ de Niza, 67 ,",376 meters,23
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Arganzuela,Instalación accesible municipal,PASEO CHOPERA 2,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",289 meters,23
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Barajas,Instalación accesible municipal,CALLE TRESPADERNE 16,"556 - Cantabria, 6","Avenida de Cantabria, 6,",794 meters,24
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Carabanchel,Instalación accesible municipal,AVENIDA CARABANCHEL ALTO 61,374 - Dinero - La Peseta,"Calle del Dinero, 38,",487 meters,27
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Centro - Sur,Instalación accesible municipal,CALLE MONTERA 16,56 - Plaza del Carmen ,"Plaza del Carmen nº 1,",110 meters,23
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Chamartín,Instalación accesible municipal,CALLE COMANDANTE AZCARRAGA 4,285 - Santa María Magdalena - La Drácena,"Calle Santa María Magdalena, 15 ,",339 meters,23
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Chamberí,Instalación accesible municipal,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 8,132 - Glorieta de Cuatro Caminos,"Calle Santa Engracia, 164 ,",100 meters,27
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Ciudad Lineal,Instalación accesible municipal,CALLE PELOPONESO 9,501 - Metro Alsacia,"Calle Hermanos García Noblejas, 137 ,",521 meters,23
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Fuencarral - El Pardo,Instalación accesible municipal,AVENIDA SOTO PALACIOS 7,583 - Ángel Múgica - Marcos de Orueta,"Calle de Angel Mugica, 3,",508 meters,24
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Hortaleza,Instalación accesible municipal,CALLE JAVIER DEL QUINTO 2,546 - Andorra - Canillas,"Calle Andorra, 2 ,",598 meters,23
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Latina,Instalación accesible municipal,CALLE RODRIGO DE ARANA 50,348 - José de Cadalso - Rafael Finat,"Calle José de cadalso, 62 ,",479 meters,27
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Moratalaz,Instalación accesible municipal,CALLE FUENTE CARRANTONA 8,221 - Metro Pavones,"Calle Hacienda de Pavones, 148 ,",371 meters,23
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Puente de Vallecas,Instalación accesible municipal,CALLE PUERTO DE CARDOSO 7,421 - Arroyo del Olivar - Buenos Aires,"Calle Arroyo del Olivar, 63,",127 meters,24
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Retiro,Instalación accesible municipal,CALLE HOYUELO 7,78 - Metro Pacífico,"Calle Cerro de la Plata nº 4,",186 meters,23
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Tetuán,Instalación accesible municipal,AVENIDA ASTURIAS 68,296 - Costa Verde,"Calle de la Costa Verde, 25-23 ,",508 meters,23
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Usera,Instalación accesible municipal,CALLE DOCTOR TOLOSA LATOUR 16,388 - Estación tren - Hospital 12 de Octubre,"Calle Doctor Tolosa Latour, 7 ,",661 meters,23
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Vicálvaro,Instalación accesible municipal,PASEO POLIDEPORTIVO 138,473 - Villablanca - Parque Forestal Vicálvaro,"Calle Villa Blanca, 85 ,",260 meters,27
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Villa de Vallecas,Instalación accesible municipal,CALLE REAL DE ARGANDA 64,438 - Biblioteca Pública Luis Martín Santos,"Calle Enrique Garcia Alvarez, 5,",191 meters,27
Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Villaverde,Instalación accesible municipal,CARRETERA CARABANCHEL A VILLAVERDE 105 C/V a la calle de la Laguna Rodrigo,412 - Estación de tren de Puente de Alcocer,"Calle San Jenaro, 1,",332 meters,24
Oficina de Colaboración Participada. (Esta unidad realiza atención por vía telefónica y correo electrónico),Instalación accesible municipal,CALLE Montalbán 1 PLANTA 5,60 - Puerta de Alcalá,"Plaza de la Independencia, s/n ,",271 meters,23
Oficina de Colaboración Participada. Servicio de Colaboración Social. (Esta unidad realiza atención por vía telefónica y correo electrónico),Instalación accesible municipal,CALLE MONTALBAN 1 PLANTA 5,86 - Cibeles,"Paseo del Prado, 1B ,",145 meters,24
Oficina de Colaboración Participada. Servicio de Fomento del Asociacionismo. (Esta unidad realiza atención por vía telefónica y correo electrónico),Instalación accesible municipal,CALLE MONTALBAN 1 PLANTA 5,86 - Cibeles,"Paseo del Prado, 1B ,",145 meters,24
Oficina de Colaboración Participada. Servicio de Órganos de Participación. (Esta unidad realiza atención por vía telefónica y correo electrónico),Instalación accesible municipal,CALLE MONTALBAN 1 PLANTA 5,86 - Cibeles,"Paseo del Prado, 1B ,",145 meters,24
Oficina de Información Juvenil - Usera,Instalación accesible municipal,CALLE AVENA 5,390 - Avena - Mijo,"Calle avena, 10 ,",29 meters,23
"Oficina de Información Juvenil - Zona 1. (Chamartín, Salamanca, Tetuán y Chamberí)",Instalación accesible municipal,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 2,132 - Glorieta de Cuatro Caminos,"Calle Santa Engracia, 164 ,",39 meters,27
"Oficina de Información Juvenil - Zona 3 (Latina, Centro y Carabanchel)",Instalación accesible municipal,CALLE ALFONSO FERNANDEZ 23,381 - Alfredo Aleix - Mercedes Rodríguez,"Calle Alfredo Aleix, 9 ,",234 meters,24
"Oficina de Información Juvenil - Zona 4. (Villaverde, Arganzuela)",Instalación accesible municipal,CALLE MARIA MARTINEZ OVIOL 12,414 - Metro Villaverde Bajo-Cruce,"Calle Santa Petronila, 7 ,",75 meters,24
"Oficina de Información Juvenil - Zona 5. (Moratalaz, Ciudad Lineal y Vicálvaro)",Instalación accesible municipal,CALLE TITANIO 5 PLANTA Baja,468 - Caños de San Pedro - San Cipriano,"Calle Caños de San Pedro, 12,",132 meters,23
"Oficina de Información Juvenil - Zona 6. (Villa de Vallecas, Retiro y Puente de Vallecas)",Instalación accesible municipal,CALLE REAL DE ARGANDA 39,438 - Biblioteca Pública Luis Martín Santos,"Calle Enrique Garcia Alvarez, 5,",343 meters,27
"Oficina de Información Juvenil - Zona 7. (Barajas, Hortaleza y San Blas - Canillejas)",Instalación accesible municipal,AVENIDA LOGROÑO 179,558 - Biblioteca Pública Mpal. Gloria Fuertes,"CalleBahía de Cádiz (cruce con Avenida Logroño) ,",85 meters,23
Oficina de Mediación,Instalación accesible municipal,CALLE MONTALBAN 1 PLANTA SEGUNDA,86 - Cibeles,"Paseo del Prado, 1B ,",145 meters,24
Oficina de Partenariado y Marca Madrid,Instalación accesible municipal,CALLE PRINCIPE DE VERGARA 140 PLANTA 3ª,"146 - María Francisca, 3","Calle de María Francisca, 3,",86 meters,19
Oficina de Proyectos Estratégicos y Participación Empresarial,Instalación accesible municipal,CALLE MONTALBAN 1 PLANTA 4ª,86 - Cibeles,"Paseo del Prado, 1B ,",145 meters,24
Oficina de Tramitación de Ayudas Económicas para titulares de Tarjeta Familia (Distrito Ciudad Lineal),Instalación accesible municipal,CALLE SANTA FELICIDAD 37,234 - Metro La Elipa,"Avenida Marques de Corbera, 52 ,",242 meters,24
Oficina de Tramitación de Ayudas Económicas para titulares de Tarjeta Familia (Distrito Puente de Vallecas),Instalación accesible municipal,CALLE JOSE SERRANO 19,418 - Puerto de Arlabán - San Diego,"Calle Puerto de Arlabán, 83 ,",203 meters,27
Oficina de Tramitación de Ayudas Económicas para titulares de Tarjeta Familia (Distrito Usera),Instalación accesible municipal,CALLE AVENA 5,390 - Avena - Mijo,"Calle avena, 10 ,",29 meters,23
Oficina de la Secretaría de la Junta de Gobierno de la Ciudad de Madrid,Instalación accesible municipal,CALLE MONTALBAN 1,86 - Cibeles,"Paseo del Prado, 1B ,",145 meters,24
"Oficina de objetos perdidos de la Empresa Municipal de Transportes de Madrid, S.A. (EMT)",Instalación accesible municipal,CALLE CERRO DE LA PLATA 4,78 - Metro Pacífico,"Calle Cerro de la Plata nº 4,",95 meters,23
Oficina de objetos perdidos del Ayuntamiento de Madrid,Instalación accesible municipal,PASEO MOLINO 7,177 - Metro Legazpi,"Calle Bolívar nº 3,",120 meters,23
"Oficina especializada del Servicio de Estacionamiento Regulado SER, ZBEDEP Distrito Centro y Plaza Elíptica, y Biciregistro.",Instalación accesible municipal,CALLE BUSTAMANTE 16,"118 - OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",60 meters,23
Oficina municipal de información y orientación para la integración de población inmigrante.  Oficina Norte,Instalación accesible municipal,CALLE JUAN PANTOJA 2 PLANTA 1.ª,204 - Doctor Santero - Bravo Murillo,"Calle Doctor Santero, 1 ,",352 meters,23
Oficina municipal de información y orientación para la integración de población inmigrante. Oficina Sur - Carabanchel,Instalación accesible municipal,CALLE VIA CARPETANA 99,359 - El Toboso - Zaida,"Calle de El Toboso, 115,",388 meters,23
Oficinas de Información de Prestaciones OIP zona 1. Barrio Zofío (Usera),Instalación accesible municipal,CALLE JUAN ZOFIO 23,391 - Junta Municipal Distrito de Usera,"Calle Rafaela Ybarra, 22,Comunidad de Madrid España",316 meters,23
Oficinas de Información de Prestaciones OIP zona 2. Barrio Palomeras Sureste (Puente de Vallecas),Instalación accesible municipal,CALLE ANTONIO MAIRENA 4,"427 - Andaluces, 2","Calle de los Andaluces, 2,",131 meters,24
Oficinas de Información de Prestaciones OIP zona 3. Barrio Pueblo Nuevo (Ciudad Lineal),Instalación accesible municipal,CALLE EZEQUIEL SOLANA 37,485 - Francisco Villaespesa - Ledesma,"Calle Francisco Villaespesa, 37 ,",319 meters,23
Oficinas de Información de Prestaciones OIP zona 4. Barrio Cuatro Caminos (Tetuán).,Instalación accesible municipal,CALLE AVIADOR ZORITA 13,295 - Hernani - Edgar Neville,"Calle Hernani, 59 ,",169 meters,23
Organismo Autónomo Agencia para el Empleo de Madrid Oficinas Centrales,Instalación accesible municipal,PASEO DE LOS PONTONES 10,236 - Paseo Imperial,"Paseo Imperial, 31 ,",408 meters,27
Organismo Autónomo Informática del Ayuntamiento de Madrid (IAM),Instalación accesible municipal,CALLE ALBARRACIN 33,506 - Albarracín - Julián Camarillo,"Calle Albarracin, sn,",280 meters,24
Organismo Autónomo Madrid Salud,Instalación accesible municipal,AVENIDA MEDITERRANEO 62,77 - Plaza del Conde de Casal,"Plaza del Conde de Casal nº 8,",480 meters,18
Pabellón Multiusos Madrid Arena (Recinto Ferial Casa de Campo),Instalación accesible municipal,AVENIDA PRINCIPAL 14,326 - Metro Alto de Extremadura,"Calle Francisco Tejada, 1 ,",620 meters,24
Pabellón Satélite Madrid Arena (Recinto Ferial Casa de Campo),Instalación accesible municipal,AVENIDA PRINCIPAL 9,326 - Metro Alto de Extremadura,"Calle Francisco Tejada, 1 ,",638 meters,24
Pabellón de Convenciones (Recinto Ferial Casa de Campo),Instalación accesible municipal,AVENIDA PORTUGAL ,326 - Metro Alto de Extremadura,"Calle Francisco Tejada, 1 ,",346 meters,24
Pabellón de Cristal de la Casa de Campo,Instalación accesible municipal,AVENIDA PRINCIPAL 16,320 - Metro Lago,"Paseo de la Puerta del Ángel, 10 ,",499 meters,19
Pabellón de los Jardines de Cecilio Rodríguez,Instalación accesible municipal,PASEO URUGUAY 5,74 - Parque Retiro - Jardines Cecilio Rguez,"Avenida de Menéndez Pelayo nº 69,",129 meters,27
Palacio de Cibeles,Instalación accesible municipal,PLAZA CIBELES 1,86 - Cibeles,"Paseo del Prado, 1B ,",140 meters,24
Parque Arroyo Fresno,Instalación accesible municipal,AVENIDA VENTISQUERO DE LA CONDESA 43,591 - Metro Mirasierra,"Av.Ventisquero de la Condesa, 37,",269 meters,19
Parque Cerro Almodóvar,Instalación accesible municipal,CALLE MARCELINO CASTILLO 29,330 - Duquesa de Parcent - Marcelino Castillo,"Calle Duquesa de Parcent, 14 ,",157 meters,23
Parque de Atracciones de Madrid. Casa de Campo,Instalación accesible municipal,PARQUE ATRACCIONES CASA CAMPO ,"327 - El Greco, 27 - C. Cultural El Greco","Calle El Greco, 27 ,",1014 meters,24
Parque de Berlín,Instalación accesible municipal,AVENIDA RAMON Y CAJAL 2,197 - Parque de Berlín,"Avenida de Concha Espina, 36 ,",207 meters,23
Parque de Educación Vial - Distrito de Moratalaz,Instalación accesible municipal,CALLE LUIS DE HOYOS SAINZ 49,"455 - Luis de Hoyos Sainz,  198","Luis de Hoyos Sainz, 198,",51 meters,23
Parque de Educación Vial-Distrito Latina,Instalación accesible municipal,AVENIDA LAS AGUILAS 14,347 - Est. tren Mtra Justa Freire-Poli Aluche,"Avenida de las Aguilas, 27 ,",574 meters,24
Parque de Educación Vial-Distrito de Moratalaz,Instalación accesible municipal,CALLE LUIS DE HOYOS SAINZ 49,"455 - Luis de Hoyos Sainz,  198","Luis de Hoyos Sainz, 198,",51 meters,23
Parque de Educación Vial-Distrito de Usera,Instalación accesible municipal,CALLE TALBOT 10,"395 - Guetaria, 84B","Calle Guetaria, 84B,",779 meters,24
Planetario de Madrid,Instalación accesible municipal,AVENIDA PLANETARIO 16,271 - Amaltea-Meneses,"Calle Amaltea, 1 ,",407 meters,24
Plaza de Daoíz y Velarde,Instalación accesible municipal,PLAZA DAOIZ Y VELARDE 2,178 - Junta Municipal Distrito de Retiro,"Calle León Gil de Palacio nº 1,",203 meters,24
Plaza de Misterios. Recinto Ferial.,Instalación accesible municipal,CALLE MISTERIOS 1,477 - Metro Ciudad Lineal,"Calle de los Misterios, 2 ,",25 meters,23
Programa Quedamos al salir de clase Distrito Carabanchel: CMM Francisco de Goya,Instalación accesible municipal,CALLE ALFREDO ALEIX 1,381 - Alfredo Aleix - Mercedes Rodríguez,"Calle Alfredo Aleix, 9 ,",212 meters,24
Programa Quedamos al salir de clase Distrito Villa de Vallecas (en CEIP Loyola de Palacio),Instalación accesible municipal,CAMINO EMBALSE DE NAVACERRADA 9,449 - Metro Congosto,"Calle del Pico Chilegua, 3,",456 meters,24
Programa de Apoyo Socioeducativo y Prelaboral para Adolescentes ASPA Nº 4,Instalación accesible municipal,CALLE PATRIMONIO DE LA HUMANIDAD 37 C/V PALAU DE LA MÚSICA,"372 - Lonja de la Seda, 33","Calle Lonja de la Seda, 33,",627 meters,23
Puente de Vallecas. Unidad de Participación Ciudadana y Cooperación Público Social,Instalación accesible municipal,AVENIDA ALBUFERA 42 Junta Municipal del Distrito de Puente de Vallecas.,"431 - Puerto Canfranc, 18","Calle Estación de Canfrac, 18 ,",330 meters,24
Puerta Innovación,Instalación accesible municipal,CALLE TOLEDO 110,45 - Metro Puerta de Toledo,"Puerta de Toledo 1 ,",100 meters,19
Punto Municipal I del Observatorio Regional de la Violencia de Género,Instalación accesible municipal,CALLE JUAN PANTOJA 2,204 - Doctor Santero - Bravo Murillo,"Calle Doctor Santero, 1 ,",354 meters,23
Punto Municipal II del Observatorio Regional de Violencia de Género,Instalación accesible municipal,CALLE VICENTA PARRA 1,212 - Metro Marqués de Vadillo,"Glorieta Marqués de Vadillo, 9,",241 meters,27
Punto Municipal III del Observatorio Regional de Violencia de Género,Instalación accesible municipal,AVENIDA ALBUFERA 319 PLANTA 4 Local 409,434 - Charleroi - Cocherón de la Villa,"Calle Charleroi, 1 ,",364 meters,24
Punto de Información Turística Aeropuerto Adolfo Suárez Madrid -  Barajas Terminal 2 (Entre salas 5 y 6),Instalación accesible municipal,AVENIDA HISPANIDAD Aeropuerto de Barajas. Salas 5 y 6,"556 - Cantabria, 6","Avenida de Cantabria, 6,",445 meters,24
Punto de Información Turística Aeropuerto Adolfo Suárez Madrid - Barajas Terminal 4 (Sala 10),Instalación accesible municipal,AVENIDA HISPANIDAD Aeropuerto de Barajas. Salas 10,"556 - Cantabria, 6","Avenida de Cantabria, 6,",445 meters,24
Punto de Información Turística Palacio Real,Instalación accesible municipal,"CALLE BAILEN semiesquina calle Requena, frente Palacio Real",36 - Plaza Ramales,"Plaza de Ramales nº1,",48 meters,24
Punto de Información Turística Reina Sofía,Instalación accesible municipal,CALLE SANTA ISABEL 52,50 - Museo Reina Sofía,"Calle de Santa Isabel (esquina con plaza del Emperador Carlos V),",78 meters,24
Punto de Información Turística de Cuesta de Moyano,Instalación accesible municipal,CALLE CLAUDIO MOYANO 1,69 - Parque del Retiro - Puerta Ángel Caído,"Avenida de Alfonso XII nº 54,",61 meters,27
Punto de Información Turística. CentroCentro,Instalación accesible municipal,PLAZA CIBELES 1,86 - Cibeles,"Paseo del Prado, 1B ,",140 meters,24
Punto de Información Turística. Estadio Santiago Bernabéu,Instalación accesible municipal,PASEO CASTELLANA 138 junto al Estadio Santiago Bernabéu,149 - Plaza de Quito,"Paseo de la Habana nº 42,",337 meters,23
Punto de Información Turística. Paseo del Prado,Instalación accesible municipal,PLAZA NEPTUNO 1 FRENTE AL MUSEO DEL PRADO,283 - Museo Nacional del Prado,"Calle Felipe IV, 5 ,",247 meters,23
Punto de Información Turística. Plaza de Callao,Instalación accesible municipal,PLAZA CALLAO 1,2 - Metro Callao,"Calle Miguel Moya nº 1,",106 meters,27
Puntos de Encuentro Familiar (PEF),Instalación accesible municipal,PASEO CHOPERA 41,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",197 meters,23
Quiosco de Música Templete Cantaor José Menese,Instalación accesible municipal,PLAZA HUARTE DE SAN JUAN 1,216 - Plaza de Puerta del Ángel,"Plaza Puerta del Ángel, 3 ,",400 meters,27
Real Teatro de Retiro. Centro Cultural Daoíz y Velarde,Instalación accesible municipal,PLAZA DAOIZ Y VELARDE 4,178 - Junta Municipal Distrito de Retiro,"Calle León Gil de Palacio nº 1,",245 meters,24
Red de Bibliotecas Públicas Municipales. Servicios Centrales,Instalación accesible municipal,CALLE CONDE DUQUE 9,14 - Ventura Rodríguez,"Ventura Rodríguez, 3,",190 meters,27
Residencia Municipal de Mayores 'Santa Engracia',Instalación accesible municipal,CALLE SANTA ENGRACIA 118,130 - Metro Ríos Rosas,"Calle de Santa Engracia, 129 ,",217 meters,23
Residencia Municipal de Mayores con Alzheimer 'Jazmín',Instalación accesible municipal,CALLE JAZMIN 48,494 - Metro Pinar de Chamartín,"Arturo Soria, 332,",168 meters,23
Residencia Municipal de Mayores con Alzheimer 'Margarita Retuerto',Instalación accesible municipal,CALLE FRANCISCO ALTIMIRAS 4,193 - Plaza de las Ventas,"Avenida De los Toreros, 49 ,",320 meters,27
Retiro. Unidad de Participación Ciudadana y Cooperación Público Social,Instalación accesible municipal,PLAZA DAOIZ Y VELARDE 2,178 - Junta Municipal Distrito de Retiro,"Calle León Gil de Palacio nº 1,",203 meters,24
Sala de Estudio del Centro Sociocultural Clara Campoamor (Retiro),Instalación accesible municipal,PLAZA DAOIZ Y VELARDE 2,178 - Junta Municipal Distrito de Retiro,"Calle León Gil de Palacio nº 1,",203 meters,24
Sala de Exposiciones Maruja Mallo (Retiro),Instalación accesible municipal,PLAZA DAOIZ Y VELARDE 2,178 - Junta Municipal Distrito de Retiro,"Calle León Gil de Palacio nº 1,",203 meters,24
Sala de estudio Alfonso XII (Fuencarral - El Pardo),Instalación accesible municipal,CALLE MIRA EL RIO 4,592 - Estación de tren de Pitis,"Calle de Gloria Fuertes, 180,",6861 meters,27
