place_of_interest,type_of_place,place_address,nearest_bicimad_station,station_location,distance,total_bases
Centro de Día Municipal 'Nicanor Barroso',Instalación accesible municipal,CALLE ENCOMIENDA DE PALACIOS 190 PLANTA 3ª,"456 - Encomienda de Palacios, 8","Encomienda de Palacios, 8,",540 meters,23
Centro de Día Municipal 'Orcasur',Instalación accesible municipal,AVENIDA ORCASUR 60,397 - Centro Deportivo Municipal Orcasur,"Calle Moreja, 30 ,",195 meters,24
Centro de Día Municipal 'Pablo Casals Cognitivo',Instalación accesible municipal,CALLE POBLADURA DEL VALLE 13 PLANTA BAJA,"505 - Castillo de Uclés, 37","Calle Castillo de Ucles, 37,",597 meters,24
Centro de Día Municipal 'Pablo Casals Físico',Instalación accesible municipal,CALLE POBLADURA DEL VALLE 13 PLANTA BAJA,"505 - Castillo de Uclés, 37","Calle Castillo de Ucles, 37,",597 meters,24
Centro de Día Municipal 'Pablo Neruda',Instalación accesible municipal,CALLE GERARDO DIEGO 8 C/V A C/ LOS EXTREMEñOS,430 - Torremolinos - Rafael Alberti,"Calle Torremolinos, 1 ,",299 meters,24
Centro de Día Municipal 'Pamplona',Instalación accesible municipal,CALLE PAMPLONA 14,205 - Metro Estrecho,"Calle Navarra, 1 ,",274 meters,23
Centro de Día Municipal 'Parque Querol',Instalación accesible municipal,"CALLE VELEZ RUBIO, 1-C ",525 - Metro Manoteras,"Calle Bacares, 20 ,",163 meters,24
Centro de Día Municipal 'Peñagrande',Instalación accesible municipal,CALLE ISLA MALAITA 13,599 - Instalación Deportiva La Cabrera,"Calle La Cabrera, sn,",396 meters,27
Centro de Día Municipal 'Retiro',Instalación accesible municipal,CALLE JOSE MARTINEZ DE VELASCO 22,72 - Metro Sáinz de Baranda,"Calle Doctor Esquerdo nº 62,",277 meters,23
Centro de Día Municipal 'San Crispín',Instalación accesible municipal,CALLE OBERTURA 6,216 - Plaza de Puerta del Ángel,"Plaza Puerta del Ángel, 3 ,",311 meters,27
Centro de Día Municipal 'San Luciano',Instalación accesible municipal,CALLE SAN LUCIANO 8,400 - Metro Ciudad de los Ángeles,"Paseo de los Gigantes y Cabezudos, 4,",566 meters,24
Centro de Día Municipal 'San Vicente de Paúl',Instalación accesible municipal,CALLE ANTONIA LANCHA 54,364 - Metro Opañel,"Avenida de Oporto, 34,",116 meters,23
Centro de Día Municipal 'Santa Engracia',Instalación accesible municipal," SANTA ENGRACIA, 118 ",130 - Metro Ríos Rosas,"Calle de Santa Engracia, 129 ,",264 meters,23
Centro de Día Municipal 'Teresa de Calcuta',Instalación accesible municipal,PLAZA NAVIO 4,"556 - Cantabria, 6","Avenida de Cantabria, 6,",101 meters,24
Centro de Día Municipal 'Vicálvaro',Instalación accesible municipal,AVENIDA DAROCA 342,462 - Gallegos - Lavadero Viejo,"Calle Gallegos 27,",191 meters,27
Centro de Día Municipal 'Villa de Vallecas',Instalación accesible municipal,CALLE FUENTIDUEÑA 16,"451 -  La Granja de San Ildefonso, 14","Calle Granja de San Idelfonso, 14 ,",380 meters,27
Centro de Día Municipal 'Vocal Vecino Justo Sierra',Instalación accesible municipal,CALLE FERMIN CABALLERO 17,606 - Fermín Caballero - Betanzos,"Calle Fermín Caballero 2,",379 meters,23
Centro de Día Privado 'Albertia Moratalaz',Instalación accesible municipal,CALLE HACIENDA DE PAVONES 261,"455 - Luis de Hoyos Sainz,  198","Luis de Hoyos Sainz, 198,",168 meters,23
Centro de Día Privado 'Asispa Nueva Edad',Instalación accesible municipal,CALLE MARTÍNEZ VILLERGAS 8,231 - Derechos Humanos - Verdaguer y García,"Calle Derechos Humanos, 14 ,",366 meters,24
Centro de Día Privado 'Asispa Virgen de África',Instalación accesible municipal,CALLE CESAR GONZALEZ RUANO 7,231 - Derechos Humanos - Verdaguer y García,"Calle Derechos Humanos, 14 ,",133 meters,24
Centro de Día Privado 'Casablanca',Instalación accesible municipal,AVENIDA VICTORIA 74,315 - Caroli,"Calle de Caroli, 10,",5001 meters,23
Centro de Día Privado 'Centro Madrid',Instalación accesible municipal,CALLE SESEÑA 32,341 - Escalona - Seseña,"Calle Escalona, 2,",49 meters,27
Centro de Día Privado 'Doctor Espina',Instalación accesible municipal,CALLE DOCTOR ESPINA 16,352 - Algorta  - General Ricardos,"Calle Algorta, 2,",292 meters,23
Centro de Día Privado 'DomusVi Chamartín',Instalación accesible municipal,CALLE ANTONIO SALCES 1,293 - Santa Rita - Clara del Rey,"Calle Santa Rita, 1 ,",265 meters,23
Centro de Día Privado 'El Bosque',Instalación accesible municipal,CALLE LOS PEÑASCALES 14,"184 - Marqués de Zafra, 24","Paseo del Marqués Zafra, 24 ,",321 meters,24
Centro de Día Privado 'Geriacen',Instalación accesible municipal,CALLE VIRGEN DE ARANZAZU 1,598 - Hospital Ramón y Cajal,"Calle San Modesto, 44,",296 meters,24
Centro de Día Privado 'Manava',Instalación accesible municipal,CALLE ISLA DE GOMERA 13,309 - Ofelia Nieto - Villaamil,"Calle Ofelia Nieto, 75,",196 meters,24
Centro de Día Privado 'Montserrat Caballé',Instalación accesible municipal,CALLE BAHIA DE SANTA POLA 2,"559 - Calle Babilonia, 19"," Calle Babilonia, 19,",314 meters,23
Centro de Día Privado 'Nuestros Abuelos',Instalación accesible municipal,CALLE MANUEL LAMELA 13,370 - Avefría - Plaza de Tarifa,"Calle de Avefria, 26,",416 meters,23
Centro de Día Privado 'Proade',Instalación accesible municipal,CALLE EDUARDO RIVAS 18 PLANTA BAJO A,357 - Sorbe - Baleares,"Calle del Sorbe , 20,",108 meters,24
Centro de Día Privado 'SalusMayores Chamartín',Instalación accesible municipal,CALLE URUGUAY 21 PLANTA BAJO,160 - Metro Colombia,"Calle Colombia, 11 ,",458 meters,24
Centro de Día Privado 'SalusMayores Ríos Rosas',Instalación accesible municipal,CALLE ALENZA 3,130 - Metro Ríos Rosas,"Calle de Santa Engracia, 129 ,",269 meters,23
Centro de Día Privado 'Sanivida Ciudad Lineal',Instalación accesible municipal,CALLE AMOS DE ESCALANTE 4,482 - Metro Pueblo Nuevo,"Campuzano, 1,",82 meters,23
Centro de Día Privado 'Sanivida Latina',Instalación accesible municipal,CALLE DOCTOR BLANCO SOLER 20 PLANTA BAJO,347 - Est. tren Mtra Justa Freire-Poli Aluche,"Avenida de las Aguilas, 27 ,",195 meters,24
Centro de Día Privado 'Sanivida Puente de Vallecas',Instalación accesible municipal,CALLE SIERRA DE LOS FILABRES 69 PLANTA BAJO,"431 - Puerto Canfranc, 18","Calle Estación de Canfrac, 18 ,",84 meters,24
Centro de Día Privado 'Sanivida Salamanca',Instalación accesible municipal,CALLE DOCTOR GOMEZ ULLA 22,193 - Plaza de las Ventas,"Avenida De los Toreros, 49 ,",303 meters,27
Centro de Día Privado 'Stima Aluche',Instalación accesible municipal,CALLE CARLOS DOMINGO 19,330 - Duquesa de Parcent - Marcelino Castillo,"Calle Duquesa de Parcent, 14 ,",519 meters,23
Centro de Día Privado 'Valleluz I',Instalación accesible municipal,CALLE ANTONIO SALVADOR 79,389 - Julio Merino - Pilarica,"Calle Julio Merino, 5 ,",300 meters,23
Centro de Día Privado 'Valleluz II',Instalación accesible municipal,CALLE RAMÓN LUJÁN 78,389 - Julio Merino - Pilarica,"Calle Julio Merino, 5 ,",151 meters,23
Centro de Día Privado 'Vivedía Cognitivo',Instalación accesible municipal,CALLE LUIS USERA 4,"387 - Isabelita Usera, 44","Calle Isabelita Usera, 44 ,",411 meters,23
Centro de Día Privado 'Vivedía Físico',Instalación accesible municipal,CALLE LUIS USERA 4,"387 - Isabelita Usera, 44","Calle Isabelita Usera, 44 ,",411 meters,23
Centro de Día para Personas con Discapacidad Intelectual Navas de Tolosa,Instalación accesible municipal,CALLE BENIMAMET 109,408 - Metro San Cristóbal,"Calle de Moncada, 102 ,",883 meters,23
Centro de Educación Ambiental de Casa de Campo,Instalación accesible municipal,PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO) ,320 - Metro Lago,"Paseo de la Puerta del Ángel, 10 ,",431 meters,19
Centro de Educación Ambiental de Dehesa de la Villa,Instalación accesible municipal,PARQUE DEHESA DE LA VILLA ACCESO POR C/ FRANCOS RODRÍGUEZ FRENTE AL INSTITUTO VIRGEN DE LA PALOMA,308 - María Auxiliadora - Francos Rodríguez,"Calle María Auxiliadora, 1 ,",574 meters,24
Centro de Educación Ambiental y Cultural Maris Stella (Usera),Instalación accesible municipal,CALLE DOCTOR TOLOSA LATOUR 16 A,388 - Estación tren - Hospital 12 de Octubre,"Calle Doctor Tolosa Latour, 7 ,",690 meters,23
Centro de Formación de Barajas,Instalación accesible municipal,AVENIDA CANTABRIA 6,"556 - Cantabria, 6","Avenida de Cantabria, 6,",10 meters,24
Centro de Formación de Oficios de Usera,Instalación accesible municipal,CALLE GINEBRO 1,397 - Centro Deportivo Municipal Orcasur,"Calle Moreja, 30 ,",319 meters,24
Centro de Información Juvenil. Negociado de Recursos Juveniles,Instalación accesible municipal,PASEO CHOPERA 41,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",197 meters,23
Centro de Información sobre Colonias Felinas y Tenencia Responsable de Animales en nuestra Ciudad,Instalación accesible municipal,PASEO FERNAN NUÑEZ 28,85 - Parque del Retiro - Puerta de O´Donnell,"Avenida de Menéndez Pelayo, 9,",166 meters,27
